date,worth
2014-11-20,1
2014-11-21,1
2014-11-24,1
2014-11-25,1.004
2014-11-26,1.014
2014-11-27,1.028
2014-11-28,1.064
2014-12-01,1.071
2014-12-02,1.122
2014-12-03,1.132
2014-12-04,1.196
2014-12-05,1.218
2014-12-08,1.271
2014-12-09,1.207
2014-12-10,1.246
2014-12-11,1.218
2014-12-12,1.216
2014-12-15,1.219
2014-12-16,1.267
2014-12-17,1.315
2014-12-18,1.31
2014-12-19,1.328
2014-12-22,1.354
2014-12-23,1.327
2014-12-24,1.267
2014-12-25,1.316
2014-12-26,1.37
2014-12-29,1.386
2014-12-30,1.411
2014-12-31,1.443
2015-01-05,1.485
2015-01-06,1.475
2015-01-07,1.474
2015-01-08,1.429
2015-01-09,1.432
2015-01-12,1.419
2015-01-13,1.412
2015-01-14,1.414
2015-01-15,1.468
2015-01-16,1.474
2015-01-19,1.345
2015-01-20,1.344
2015-01-21,1.413
2015-01-22,1.41
2015-01-23,1.42
2015-01-26,1.414
2015-01-27,1.393
2015-01-28,1.373
2015-01-29,1.352
2015-01-30,1.335
2015-02-02,1.294
2015-02-03,1.332
2015-02-04,1.315
2015-02-05,1.303
2015-02-06,1.289
2015-02-09,1.309
2015-02-10,1.329
2015-02-11,1.333
2015-02-12,1.334
2015-02-13,1.34
2015-02-16,1.339
2015-02-17,1.349
2015-02-25,1.329
2015-02-26,1.365
2015-02-27,1.361
2015-03-02,1.363
2015-03-03,1.318
2015-03-04,1.317
2015-03-05,1.296
2015-03-06,1.295
2015-03-09,1.329
2015-03-10,1.309
2015-03-11,1.316
2015-03-12,1.357
2015-03-13,1.361
2015-03-16,1.39
2015-03-17,1.407
2015-03-18,1.439
2015-03-19,1.431
2015-03-20,1.453
2015-03-23,1.476
2015-03-24,1.46
2015-03-25,1.436
2015-03-26,1.452
2015-03-27,1.454
2015-03-30,1.506
2015-03-31,1.491
2015-04-01,1.513
2015-04-02,1.501
2015-04-03,1.515
2015-04-07,1.553
2015-04-08,1.593
2015-04-09,1.582
2015-04-10,1.612
2015-04-13,1.639
2015-04-14,1.644
2015-04-15,1.65
2015-04-16,1.713
2015-04-17,1.743
2015-04-20,1.709
2015-04-21,1.728
2015-04-22,1.769
2015-04-23,1.752
2015-04-24,1.723
2015-04-27,1.777
2015-04-28,1.785
2015-04-29,1.776
2015-04-30,1.76
2015-05-04,1.772
2015-05-05,1.706
2015-05-06,1.695
2015-05-07,1.669
2015-05-08,1.682
2015-05-11,1.714
2015-05-12,1.722
2015-05-13,1.698
2015-05-14,1.686
2015-05-15,1.65
2015-05-18,1.622
2015-05-19,1.684
2015-05-20,1.69
2015-05-21,1.707
2015-05-22,1.759
2015-05-25,1.815
2015-05-26,1.837
2015-05-27,1.815
2015-05-28,1.693
2015-05-29,1.687
2015-06-01,1.76
2015-06-02,1.762
2015-06-03,1.76
2015-06-04,1.791
2015-06-05,1.804
2015-06-08,1.858
2015-06-09,1.83
2015-06-10,1.804
2015-06-11,1.789
2015-06-12,1.791
2015-06-15,1.746
2015-06-16,1.707
2015-06-17,1.726
2015-06-18,1.651
2015-06-19,1.575
2015-06-23,1.635
2015-06-24,1.661
2015-06-25,1.62
2015-06-26,1.517
2015-06-29,1.496
2015-06-30,1.597
2015-07-01,1.53
2015-07-02,1.515
2015-07-03,1.442
2015-07-06,1.529
2015-07-07,1.571
2015-07-08,1.472
2015-07-09,1.558
2015-07-10,1.617
2015-07-13,1.599
2015-07-14,1.544
2015-07-15,1.534
2015-07-16,1.526
2015-07-17,1.563
2015-07-20,1.552
2015-07-21,1.546
2015-07-22,1.528
2015-07-23,1.555
2015-07-24,1.527
2015-07-27,1.398
2015-07-28,1.4
2015-07-29,1.422
2015-07-30,1.386
2015-07-31,1.385
2015-08-03,1.396
2015-08-04,1.421
2015-08-05,1.396
2015-08-06,1.386
2015-08-07,1.404
2015-08-10,1.461
2015-08-11,1.449
2015-08-12,1.432
2015-08-13,1.443
2015-08-14,1.445
2015-08-17,1.429
2015-08-18,1.356
2015-08-19,1.368
2015-08-20,1.33
2015-08-21,1.28
2015-08-24,1.158
2015-08-25,1.081
2015-08-26,1.103
2015-08-27,1.182
2015-08-28,1.216
2015-08-31,1.236
2015-09-01,1.249
2015-09-02,1.257
2015-09-07,1.198
2015-09-08,1.223
2015-09-09,1.241
2015-09-10,1.237
2015-09-11,1.229
2015-09-14,1.237
2015-09-15,1.209
2015-09-16,1.245
2015-09-17,1.222
2015-09-18,1.224
2015-09-21,1.233
2015-09-22,1.245
2015-09-23,1.213
2015-09-24,1.218
2015-09-25,1.213
2015-09-28,1.207
2015-09-29,1.184
2015-09-30,1.195
2015-10-08,1.219
2015-10-09,1.233
2015-10-12,1.27
2015-10-13,1.262
2015-10-14,1.251
2015-10-15,1.274
2015-10-16,1.286
2015-10-19,1.283
2015-10-20,1.295
2015-10-21,1.294
2015-10-22,1.291
2015-10-23,1.3
2015-10-26,1.302
2015-10-27,1.301
2015-10-28,1.28
2015-10-29,1.28
2015-10-30,1.283
2015-11-02,1.267
2015-11-03,1.261
2015-11-04,1.315
2015-11-05,1.354
2015-11-06,1.38
2015-11-09,1.401
2015-11-10,1.393
2015-11-11,1.384
2015-11-12,1.367
2015-11-13,1.35
2015-11-16,1.358
2015-11-17,1.36
2015-11-18,1.357
2015-11-19,1.369
2015-11-20,1.367
2015-11-23,1.364
2015-11-24,1.359
2015-11-25,1.364
2015-11-26,1.359
2015-11-27,1.297
2015-11-30,1.3
2015-12-01,1.307
2015-12-02,1.37
2015-12-03,1.372
2015-12-04,1.339
2015-12-07,1.338
2015-12-08,1.322
2015-12-09,1.325
2015-12-10,1.315
2015-12-11,1.307
2015-12-14,1.342
2015-12-15,1.327
2015-12-16,1.323
2015-12-17,1.344
2015-12-18,1.348
2015-12-21,1.388
2015-12-22,1.384
2015-12-23,1.388
2015-12-24,1.375
2015-12-25,1.381
2015-12-28,1.34
2015-12-29,1.352
2015-12-30,1.351
2015-12-31,1.342
2016-01-04,1.262
2016-01-05,1.273
2016-01-06,1.288
2016-01-07,1.218
2016-01-08,1.238
2016-01-11,1.187
2016-01-12,1.194
2016-01-13,1.181
2016-01-14,1.196
2016-01-15,1.161
2016-01-18,1.16
2016-01-19,1.194
2016-01-20,1.171
2016-01-21,1.145
2016-01-22,1.156
2016-01-25,1.158
2016-01-26,1.099
2016-01-27,1.101
2016-01-28,1.08
2016-01-29,1.111
2016-02-01,1.092
2016-02-02,1.11
2016-02-03,1.101
2016-02-04,1.111
2016-02-05,1.108
2016-02-15,1.098
2016-02-16,1.125
2016-02-17,1.132
2016-02-18,1.129
2016-02-19,1.125
2016-02-22,1.154
2016-02-23,1.141
2016-02-24,1.149
2016-02-25,1.091
2016-02-26,1.103
2016-02-29,1.096
2016-03-01,1.114
2016-03-02,1.154
2016-03-03,1.157
2016-03-04,1.19
2016-03-07,1.182
2016-03-08,1.185
2016-03-09,1.182
2016-03-10,1.156
