date,worth,y
2017/1/6,1.047,1
2017/1/9,1.047,1
2017/1/10,1.048,1.00095511
2017/1/11,1.049,1.00191022
2017/1/12,1.049,1.00191022
2017/1/13,1.049,1.00191022
2017/1/16,1.05,1.00286533
2017/1/17,1.049,1.00191022
2017/1/18,1.048,1.00095511
2017/1/19,1.048,1.00095511
2017/1/20,1.048,1.00095511
2017/1/23,1.049,1.00191022
2017/1/24,1.05,1.00286533
2017/1/25,1.049,1.00191022
2017/1/26,1.049,1.00191022
2017/2/3,1.05,1.00286533
2017/2/6,1.049,1.00191022
2017/2/7,1.048,1.00095511
2017/2/8,1.048,1.00095511
2017/2/9,1.048,1.00095511
2017/2/10,1.049,1.00191022
2017/2/13,1.049,1.00191022
2017/2/14,1.049,1.00191022
2017/2/15,1.049,1.00191022
2017/2/16,1.05,1.00286533
2017/2/17,1.05,1.00286533
2017/2/20,1.05,1.00286533
2017/2/21,1.05,1.00286533
2017/2/22,1.05,1.00286533
2017/2/23,1.05,1.00286533
2017/2/24,1.051,1.003820439
2017/2/27,1.051,1.003820439
2017/2/28,1.051,1.003820439
2017/3/1,1.052,1.004775549
2017/3/2,1.052,1.004775549
2017/3/3,1.052,1.004775549
2017/3/6,1.052,1.004775549
2017/3/7,1.052,1.004775549
2017/3/8,1.052,1.004775549
2017/3/9,1.052,1.004775549
2017/3/10,1.052,1.004775549
2017/3/13,1.052,1.004775549
2017/3/14,1.052,1.004775549
2017/3/15,1.054,1.006685769
2017/3/16,1.054,1.006685769
2017/3/17,1.054,1.006685769
2017/3/20,1.054,1.006685769
2017/3/21,1.054,1.006685769
2017/3/22,1.054,1.006685769
2017/3/23,1.054,1.006685769
2017/3/24,1.054,1.006685769
2017/3/27,1.055,1.007640879
2017/3/28,1.055,1.007640879
2017/3/29,1.055,1.007640879
2017/3/30,1.055,1.007640879
2017/3/31,1.056,1.008595989
2017/4/5,1.057,1.009551098
2017/4/6,1.057,1.009551098
2017/4/7,1.058,1.010506208
2017/4/10,1.058,1.010506208
2017/4/11,1.059,1.011461318
2017/4/12,1.059,1.011461318
2017/4/13,1.059,1.011461318
2017/4/14,1.059,1.011461318
2017/4/17,1.059,1.011461318
2017/4/18,1.059,1.011461318
2017/4/19,1.058,1.010506208
2017/4/20,1.058,1.010506208
2017/4/21,1.058,1.010506208
2017/4/24,1.058,1.010506208
2017/4/25,1.058,1.010506208
2017/4/26,1.058,1.010506208
2017/4/27,1.058,1.010506208
2017/4/28,1.059,1.011461318
2017/5/2,1.059,1.011461318
2017/5/3,1.059,1.011461318
2017/5/4,1.059,1.011461318
2017/5/5,1.059,1.011461318
2017/5/8,1.059,1.011461318
2017/5/9,1.058,1.010506208
2017/5/10,1.058,1.010506208
2017/5/11,1.058,1.010506208
2017/5/12,1.058,1.010506208
2017/5/15,1.058,1.010506208
2017/5/16,1.058,1.010506208
2017/5/17,1.058,1.010506208
2017/5/18,1.058,1.010506208
2017/5/19,1.059,1.011461318
2017/5/22,1.059,1.011461318
2017/5/23,1.059,1.011461318
2017/5/24,1.059,1.011461318
2017/5/25,1.059,1.011461318
2017/5/26,1.059,1.011461318
2017/5/31,1.06,1.012416428
2017/6/1,1.06,1.012416428
2017/6/2,1.06,1.012416428
2017/6/5,1.061,1.013371538
2017/6/6,1.061,1.013371538
2017/6/7,1.061,1.013371538
2017/6/8,1.061,1.013371538
2017/6/9,1.061,1.013371538
2017/6/12,1.062,1.014326648
2017/6/13,1.062,1.014326648
2017/6/14,1.063,1.015281757
2017/6/15,1.063,1.015281757
2017/6/16,1.064,1.016236867
2017/6/19,1.065,1.017191977
2017/6/20,1.065,1.017191977
2017/6/21,1.066,1.018147087
2017/6/22,1.066,1.018147087
2017/6/23,1.066,1.018147087
2017/6/26,1.067,1.019102197
2017/6/27,1.068,1.020057307
2017/6/28,1.068,1.020057307
2017/6/29,1.069,1.021012416
2017/6/30,1.07,1.021967526
2017/7/3,1.07,1.021967526
2017/7/4,1.07,1.021967526
2017/7/5,1.07,1.021967526
2017/7/6,1.071,1.022922636
2017/7/7,1.071,1.022922636
2017/7/10,1.071,1.022922636
2017/7/11,1.071,1.022922636
2017/7/12,1.072,1.023877746
2017/7/13,1.072,1.023877746
2017/7/14,1.073,1.024832856
2017/7/17,1.074,1.025787966
2017/7/18,1.073,1.024832856
2017/7/19,1.073,1.024832856
2017/7/20,1.073,1.024832856
2017/7/21,1.073,1.024832856
2017/7/24,1.074,1.025787966
2017/7/25,1.074,1.025787966
2017/7/26,1.074,1.025787966
2017/7/27,1.073,1.024832856
2017/7/28,1.073,1.024832856
