date,worth
2017-01-05,1
2017-01-06,1.0001
2017-01-13,1.0009
2017-01-20,1.0016
2017-01-26,1.0022
2017-02-03,1.003
2017-02-06,1.0033
2017-02-07,1.0038
2017-02-08,1.0042
2017-02-09,1.0042
2017-02-10,1.0061
2017-02-13,1.0074
2017-02-14,1.0089
2017-02-15,1.0087
2017-02-16,1.0089
2017-02-17,1.0075
2017-02-20,1.0091
2017-02-21,1.0098
2017-02-22,1.0113
2017-02-23,1.0106
2017-02-24,1.0116
2017-02-27,1.0117
2017-02-28,1.012
2017-03-01,1.0118
2017-03-02,1.0122
2017-03-03,1.0125
2017-03-06,1.0133
2017-03-07,1.0137
2017-03-08,1.0137
2017-03-09,1.0125
2017-03-10,1.0132
2017-03-13,1.0143
2017-03-14,1.0138
2017-03-15,1.0136
2017-03-16,1.0138
2017-03-17,1.0136
2017-03-20,1.0137
2017-03-21,1.0138
2017-03-22,1.0139
2017-03-23,1.0139
2017-03-24,1.0139
2017-03-27,1.0147
2017-03-28,1.0147
2017-03-29,1.0148
2017-03-30,1.0147
2017-03-31,1.0146
2017-04-05,1.0165
2017-04-06,1.0167
2017-04-07,1.0168
2017-04-10,1.0171
2017-04-11,1.0172
2017-04-12,1.0172
2017-04-13,1.0176
2017-04-14,1.0177
2017-04-17,1.0174
2017-04-18,1.0167
2017-04-19,1.0165
2017-04-20,1.0167
2017-04-21,1.0169
2017-04-24,1.0155
2017-04-25,1.0159
2017-04-26,1.0162
2017-04-27,1.0171
2017-04-28,1.0175
2017-05-02,1.018
2017-05-03,1.017
2017-05-04,1.0171
2017-05-05,1.0164
2017-05-08,1.0162
2017-05-09,1.0164
2017-05-10,1.0164
2017-05-11,1.0167
2017-05-12,1.0163
2017-05-15,1.017
2017-05-16,1.0174
2017-05-17,1.0189
2017-05-18,1.0185
2017-05-19,1.0182
2017-05-22,1.0172
2017-05-23,1.0173
2017-05-24,1.0175
2017-05-25,1.0194
2017-05-26,1.0193
2017-05-31,1.0198
2017-06-01,1.02
2017-06-02,1.0202
2017-06-05,1.0216
2017-06-06,1.022
2017-06-07,1.0253
2017-06-08,1.0258
2017-06-09,1.0264
2017-06-12,1.0272
2017-06-13,1.0282
2017-06-14,1.0278
2017-06-15,1.0285
2017-06-16,1.0274
2017-06-19,1.0296
2017-06-20,1.0298
2017-06-21,1.0307
2017-06-22,1.0309
2017-06-23,1.0312
2017-06-26,1.0352
2017-06-27,1.0363
2017-06-28,1.0381
2017-06-29,1.0398
2017-06-30,1.0399
2017-07-03,1.0404
2017-07-04,1.0386
2017-07-05,1.0411
2017-07-06,1.0414
2017-07-07,1.0442
2017-07-10,1.0458
2017-07-11,1.0443
2017-07-12,1.0438
2017-07-13,1.0445
2017-07-14,1.0432
2017-07-17,1.0421
2017-07-18,1.0454
2017-07-19,1.0501
2017-07-20,1.0501
2017-07-21,1.0496
2017-07-24,1.0518
2017-07-25,1.0514
2017-07-26,1.0491
2017-07-27,1.0477
2017-07-28,1.0504
2017-07-31,1.0527
2017-08-01,1.0515
2017-08-02,1.0521
2017-08-03,1.0517
2017-08-04,1.0539
2017-08-07,1.0561
2017-08-08,1.0596
2017-08-09,1.061
2017-08-10,1.0609
2017-08-11,1.0591
2017-08-14,1.0592
2017-08-15,1.0619
2017-08-16,1.0621
2017-08-17,1.0625
2017-08-18,1.064
2017-08-21,1.0632
2017-08-22,1.0623
2017-08-23,1.062
2017-08-24,1.0609
2017-08-25,1.0636
2017-08-28,1.0687
2017-08-29,1.0671
2017-08-30,1.0699
2017-08-31,1.0695
2017-09-01,1.0732
2017-09-04,1.0764
2017-09-05,1.077
2017-09-06,1.0761
2017-09-07,1.0763
2017-09-08,1.0767
2017-09-11,1.0774
2017-09-12,1.0774
2017-09-13,1.0776
2017-09-14,1.0797
2017-09-15,1.0791
2017-09-18,1.0803
2017-09-19,1.0804
2017-09-20,1.0804
2017-09-21,1.0776
2017-09-22,1.0772
2017-09-25,1.075
2017-09-26,1.0749
2017-09-27,1.0764
2017-09-28,1.0755
2017-09-29,1.0753
2017-10-09,1.0805
2017-10-10,1.0837
2017-10-11,1.0852
2017-10-12,1.0872
2017-10-13,1.0869
2017-10-16,1.0847
2017-10-17,1.0835
2017-10-18,1.0828
2017-10-19,1.0816
2017-10-20,1.0834
2017-10-23,1.0861
2017-10-24,1.0883
2017-10-25,1.0908
2017-10-26,1.0891
2017-10-27,1.09
2017-10-30,1.0895
2017-10-31,1.0908
2017-11-01,1.09
2017-11-02,1.0874
2017-11-03,1.0853
2017-11-06,1.0859
2017-11-07,1.0868
2017-11-08,1.0872
2017-11-09,1.0886
2017-11-10,1.088
2017-11-13,1.0892
2017-11-14,1.0892
2017-11-15,1.0882
2017-11-16,1.0903
2017-11-17,1.0913
2017-11-20,1.0952
2017-11-21,1.0973
2017-11-22,1.0943
2017-11-23,1.0915
2017-11-24,1.0911
2017-11-27,1.0888
2017-11-28,1.0907
2017-11-29,1.0931
2017-11-30,1.0941
2017-12-01,1.0943
2017-12-04,1.0922
2017-12-05,1.0923
2017-12-06,1.0918
2017-12-07,1.0905
2017-12-08,1.0917
2017-12-11,1.0946
2017-12-12,1.0934
2017-12-13,1.0913
2017-12-14,1.0926
2017-12-15,1.0898
2017-12-18,1.0894
2017-12-19,1.0918
2017-12-20,1.0898
2017-12-21,1.0932
2017-12-22,1.0938
2017-12-25,1.0962
2017-12-26,1.0967
2017-12-27,1.0936
2017-12-28,1.0949
2017-12-29,1.0979
2017-12-31,1.0982
2018-01-02,1.1034
2018-01-03,1.1107
2018-01-04,1.1134
2018-01-05,1.1154
2018-01-08,1.1194
2018-01-09,1.1243
2018-01-10,1.126
2018-01-11,1.1236
2018-01-12,1.1251
2018-01-15,1.1293
2018-01-16,1.1301
2018-01-17,1.1264
2018-01-18,1.1271
2018-01-19,1.1278
2018-01-22,1.1301
2018-01-23,1.1335
2018-01-24,1.1345
2018-01-25,1.1347
2018-01-26,1.1389
2018-01-29,1.1385
2018-01-30,1.1364
2018-01-31,1.1387
2018-02-01,1.1338
2018-02-02,1.1337
2018-02-05,1.1385
2018-02-06,1.1299
2018-02-07,1.1268
2018-02-08,1.1276
2018-02-09,1.1212
2018-02-12,1.1247
2018-02-13,1.1261
2018-02-14,1.1276
2018-02-22,1.1304
2018-02-23,1.1302
2018-02-26,1.1315
2018-02-27,1.1294
2018-02-28,1.1291
2018-03-01,1.129
2018-03-02,1.1283
2018-03-05,1.1289
2018-03-06,1.1328
2018-03-07,1.1323
2018-03-08,1.1341
2018-03-09,1.1345
2018-03-12,1.1366
2018-03-13,1.135
2018-03-14,1.1337
2018-03-15,1.1344
2018-03-16,1.1326
2018-03-19,1.1327
2018-03-20,1.133
2018-03-21,1.1328
2018-03-22,1.1303
2018-03-23,1.1252
2018-03-26,1.1263
2018-03-27,1.1282
2018-03-28,1.1242
2018-03-29,1.1263
2018-03-30,1.1257
2018-04-02,1.1266
2018-04-03,1.1249
2018-04-04,1.1244
2018-04-09,1.1246
2018-04-10,1.127
2018-04-11,1.1284
2018-04-12,1.1287
2018-04-13,1.1272
2018-04-16,1.1262
2018-04-17,1.1238
2018-04-18,1.1289
2018-04-19,1.131
2018-04-20,1.1281
2018-04-23,1.1263
2018-04-24,1.1301
2018-04-25,1.1307
2018-04-26,1.1258
2018-04-27,1.1252
2018-05-02,1.1255
2018-05-03,1.1274
2018-05-04,1.1264
2018-05-07,1.1288
2018-05-08,1.1304
2018-05-09,1.1296
2018-05-10,1.1293
2018-05-11,1.1282
2018-05-14,1.1288
2018-05-15,1.1294
2018-05-16,1.1276
2018-05-17,1.1259
2018-05-18,1.1264
2018-05-21,1.1277
2018-05-22,1.1282
2018-05-23,1.1269
2018-05-24,1.1271
2018-05-25,1.1285
2018-05-28,1.13
2018-05-29,1.1274
2018-05-30,1.1256
2018-05-31,1.1301
2018-06-01,1.1268
2018-06-04,1.1287
2018-06-05,1.1303
2018-06-06,1.1302
2018-06-07,1.1298
2018-06-08,1.1276
2018-06-11,1.1261
2018-06-12,1.1275
2018-06-13,1.1264
2018-06-14,1.1255
2018-06-15,1.1261
2018-06-19,1.122
2018-06-20,1.1238
2018-06-21,1.1219
2018-06-22,1.1248
2018-06-25,1.122
2018-06-26,1.1195
2018-06-27,1.1164
2018-06-28,1.1159
2018-06-29,1.1197
2018-06-30,1.1197
2018-07-02,1.1177
2018-07-03,1.1189
2018-07-04,1.1173
2018-07-05,1.116
2018-07-06,1.1163
2018-07-09,1.12
2018-07-10,1.1214
2018-07-11,1.1203
2018-07-12,1.1223
2018-07-13,1.123
2018-07-16,1.1229
2018-07-17,1.122
2018-07-18,1.1211
2018-07-19,1.1201
2018-07-20,1.1257
2018-07-23,1.1288
2018-07-24,1.1323
2018-07-25,1.1334
2018-07-26,1.1309
2018-07-27,1.1311
2018-07-30,1.131
2018-07-31,1.1314
2018-08-01,1.1284
2018-08-02,1.1277
2018-08-03,1.1264
2018-08-06,1.1254
2018-08-07,1.1288
2018-08-08,1.127
2018-08-09,1.1286
2018-08-10,1.1284
2018-08-13,1.1264
2018-08-14,1.1265
2018-08-15,1.1255
2018-08-16,1.1244
2018-08-17,1.1229
2018-08-20,1.1225
2018-08-21,1.1231
2018-08-22,1.1237
2018-08-23,1.1245
2018-08-24,1.1258
2018-08-27,1.129
2018-08-28,1.1287
2018-08-29,1.1283
2018-08-30,1.1272
2018-08-31,1.1269
2018-09-03,1.1273
2018-09-04,1.1282
2018-09-05,1.1273
2018-09-06,1.127
2018-09-07,1.127
2018-09-10,1.1251
2018-09-11,1.1251
2018-09-12,1.125
2018-09-13,1.1264
2018-09-14,1.1256
2018-09-17,1.1251
